id,division_id,name,bn_name,lat,long
1,3,Dhaka,ঢাকা,23.7115253,90.4111451
2,3,Faridpur,ফরিদপুর,23.6070822,89.8429406
3,3,Gazipur,গাজীপুর,24.0022858,90.4264283
4,3,Gopalganj,গোপালগঞ্জ,23.0050857,89.8266059
5,8,Jamalpur,জামালপুর,24.937533,89.937775
6,3,Kishoreganj,কিশোরগঞ্জ,24.444937,90.776575
7,3,Madaripur,মাদারীপুর,23.164102,90.1896805
8,3,Manikganj,মানিকগঞ্জ,0,0
9,3,Munshiganj,মুন্সিগঞ্জ,0,0
10,8,Mymensingh,ময়মনসিংহ,0,0
11,3,Narayanganj,নারায়াণগঞ্জ,23.63366,90.496482
12,3,Narsingdi,নরসিংদী,23.932233,90.71541
13,8,Netrokona,নেত্রকোণা,24.870955,90.727887
14,3,Rajbari,রাজবাড়ি,23.7574305,89.6444665
15,3,Shariatpur,শরীয়তপুর,0,0
16,8,Sherpur,শেরপুর,25.0204933,90.0152966
17,3,Tangail,টাঙ্গাইল,0,0
18,5,Bogura,বগুড়া,24.8465228,89.377755
19,5,Joypurhat,জয়পুরহাট,0,0
20,5,Naogaon,নওগাঁ,0,0
21,5,Natore,নাটোর,24.420556,89.000282
22,5,Nawabganj,নবাবগঞ্জ,24.5965034,88.2775122
23,5,Pabna,পাবনা,23.998524,89.233645
24,5,Rajshahi,রাজশাহী,0,0
25,5,Sirajgonj,সিরাজগঞ্জ,24.4533978,89.7006815
26,6,Dinajpur,দিনাজপুর,25.6217061,88.6354504
27,6,Gaibandha,গাইবান্ধা,25.328751,89.528088
28,6,Kurigram,কুড়িগ্রাম,25.805445,89.636174
29,6,Lalmonirhat,লালমনিরহাট,0,0
30,6,Nilphamari,নীলফামারী,25.931794,88.856006
31,6,Panchagarh,পঞ্চগড়,26.3411,88.5541606
32,6,Rangpur,রংপুর,25.7558096,89.244462
33,6,Thakurgaon,ঠাকুরগাঁও,26.0336945,88.4616834
34,1,Barguna,বরগুনা,0,0
35,1,Barishal,বরিশাল,0,0
36,1,Bhola,ভোলা,22.685923,90.648179
37,1,Jhalokati,ঝালকাঠি,0,0
38,1,Patuakhali,পটুয়াখালী,22.3596316,90.3298712
39,1,Pirojpur,পিরোজপুর,0,0
40,2,Bandarban,বান্দরবান,22.1953275,92.2183773
41,2,Brahmanbaria,ব্রাহ্মণবাড়িয়া,23.9570904,91.1119286
42,2,Chandpur,চাঁদপুর,23.2332585,90.6712912
43,2,Chattogram,চট্টগ্রাম,22.335109,91.834073
44,2,Cumilla,কুমিল্লা,23.4682747,91.1788135
45,2,Cox's Bazar,কক্স বাজার,0,0
46,2,Feni,ফেনী,23.023231,91.3840844
47,2,Khagrachari,খাগড়াছড়ি,23.119285,91.984663
48,2,Lakshmipur,লক্ষ্মীপুর,22.942477,90.841184
49,2,Noakhali,নোয়াখালী,22.869563,91.099398
50,2,Rangamati,রাঙ্গামাটি,0,0
51,7,Habiganj,হবিগঞ্জ,24.374945,91.41553
52,7,Maulvibazar,মৌলভীবাজার,24.482934,91.777417
53,7,Sunamganj,সুনামগঞ্জ,25.0658042,91.3950115
54,7,Sylhet,সিলেট,24.8897956,91.8697894
55,4,Bagerhat,বাগেরহাট,22.651568,89.785938
56,4,Chuadanga,চুয়াডাঙ্গা,23.6401961,88.841841
57,4,Jashore,যশোর,23.16643,89.2081126
58,4,Jhenaidah,ঝিনাইদহ,23.5448176,89.1539213
59,4,Khulna,খুলনা,22.815774,89.568679
60,4,Kushtia,কুষ্টিয়া,23.901258,89.120482
61,4,Magura,মাগুরা,23.487337,89.419956
62,4,Meherpur,মেহেরপুর,23.762213,88.631821
63,4,Narail,নড়াইল,23.172534,89.512672
64,4,Satkhira,সাতক্ষীরা,0,0
